series,n,alpha,xmin,sigma,n_tail,gof_p,R_lognormal,p_lognormal,R_exponential,p_exponential,R_truncated_power_law,p_truncated_power_law,verdict
profile:followee_num,25781,2.6249785514589616,550.0,0.040790513222269544,1587,,-0.8266832861579234,0.4084165971237118,4.772988813195714,1.8151187689248023e-06,-0.9593214867236822,0.07864395678097091,Alternative favored (truncated_power_law)
profile:follower_num,26161,2.578239726504742,75863.0,0.09640633522406572,268,,-1.2947687254019207,0.19540002374743615,2.3637104684763304,0.018092946356721092,-1.9461018948846678,0.010179977852211142,Alternative favored (truncated_power_law)
profile:answer_num,22614,2.2817888148799765,137.0,0.023647791184243955,2938,,-4.362394029110428,1.2864690358694035e-05,7.6091904768225795,2.7581800924754438e-14,-4.525269582669291,4.5630166312093934e-14,Lognormal favored
profile:agree_num,21416,2.361153745709937,35086.0,0.055661715938074445,598,,-2.081950952209448,0.03734695003502304,3.453070078853932,0.0005542449961715285,-2.374267858553636,0.000246850254528419,Lognormal favored
profile:thanks_num,20961,2.4255737300214792,8819.0,0.06157540668519011,536,,-2.105693979666361,0.035230943126270065,2.851842413040588,0.004346664347024238,-2.399528264926334,0.00018287395218463676,Lognormal favored
induced:in_degree,26161,2.1633933597522215,311.0,0.02570133021033264,2049,,-5.351769458715873,8.709831943665346e-08,6.973703850892694,3.0870358103936695e-12,-6.513814794762226,0.0,Lognormal favored
induced:out_degree,25648,2.8697943807423467,403.0,0.0475542246920761,1546,,-2.3869621291804637,0.01698824116214556,4.155835945371884,3.241003296730958e-05,-2.4441456496526768,3.147344684251152e-05,Lognormal favored
