method,spearman,ndcg@100,p@100
in-degree,0.6486763681208331,0.7810975823536253,0.5
PageRank,0.528213450117709,0.6790907175563431,0.4
HITS authority,0.6493813317794803,0.8171067088635453,0.53
DeepWalk + ridge,0.7454426938108301,0.6481906820149537,0.36
GraphSAGE,0.8426107274519191,0.8203610548537628,0.56
Metapath walks + ridge,0.7506395505669103,0.6592672801279593,0.4
Hetero-GraphSAGE,0.8706744351059572,0.8445345273045237,0.6
