feature,n,n_zero_dropped,alpha,xmin,n_tail,ks_distance,R_vs_truncated_power_law,p_vs_truncated_power_law,R_vs_lognormal,p_vs_lognormal,R_vs_exponential,p_vs_exponential,R_vs_stretched_exponential,p_vs_stretched_exponential,tpl_alpha,tpl_lambda,verdict
followee_num,26161,380,2.6249785514589616,550.0,1587,0.01257439468629612,-0.9593214867236822,0.07864395678097091,-0.8266832861579234,0.4084165971237118,4.772988813195714,1.8151187689248023e-06,0.3290044536627668,0.7421523217335682,2.5426327093992533,3.080751158727992e-05,power law plausible; alternatives not distinguishable
follower_num,26161,0,2.578239726504742,75863.0,268,0.044908598869426,-1.9461018948846678,0.010179977852211142,-1.2947687254019207,0.19540002374743615,2.3637104684763304,0.018092946356721092,-1.3418056273018921,0.17965902715200277,2.0767453232144555,1.7244582372991388e-06,truncated power law favored over pure power law
answer_num,26161,3547,2.2817888148799765,137.0,2938,0.030022490458751827,-4.525269582669291,4.5630166312093934e-14,-4.362394029110428,1.2864690358694035e-05,7.6091904768225795,2.7581800924754438e-14,-4.420037296189778,9.868386816332874e-06,2.0143491865355925,0.0003321847838260427,truncated power law favored over pure power law
agree_num,26161,4745,2.361153745709937,35086.0,598,0.032244431398481876,-2.374267858553636,0.000246850254528419,-2.081950952209448,0.03734695003502304,3.453070078853932,0.0005542449961715285,-2.1180981628085616,0.03416675510417322,2.0195179647682058,1.9240915882344226e-06,truncated power law favored over pure power law
thanks_num,26161,5200,2.4255737300214792,8819.0,536,0.04059496390867978,-2.399528264926334,0.00018287395218463676,-2.105693979666361,0.035230943126270065,2.851842413040588,0.004346664347024238,-2.1491690353878377,0.031621002894717996,2.001226171512201,1.0656093247170477e-05,truncated power law favored over pure power law
